2026-07-20 01:40:37,256 | INFO | FraudSystem | Loading dataset...
2026-07-20 01:40:57,359 | INFO | FraudSystem | Dataset loaded successfully. Shape: (3500000, 21)
2026-07-20 01:40:57,359 | INFO | FraudSystem | Creating features...
2026-07-20 01:41:03,511 | INFO | FraudSystem | Feature engineering completed. Shape: (3500000, 33)
2026-07-20 01:41:04,395 | INFO | FraudSystem | Preparing features...
2026-07-20 01:41:29,679 | INFO | FraudSystem | Feature matrix created successfully. Shape: (3500000, 25)
2026-07-20 01:41:29,679 | INFO | FraudSystem | Training Isolation Forest...
2026-07-20 01:42:38,399 | INFO | FraudSystem | Isolation Forest training completed successfully.
2026-07-20 01:42:38,516 | INFO | FraudSystem | Model saved successfully.
2026-07-20 01:42:38,516 | INFO | FraudSystem | Model Path: models/isolation_forest.pkl
2026-07-20 01:42:38,516 | INFO | FraudSystem | Preprocessor Path: models/scaler.pkl
2026-07-20 01:42:38,516 | INFO | FraudSystem | Metadata Path: models/metadata.json
2026-07-20 01:43:06,383 | INFO | FraudSystem | Loading dataset...
2026-07-20 01:43:25,113 | INFO | FraudSystem | Dataset loaded successfully. Shape: (3500000, 21)
2026-07-20 01:43:25,119 | INFO | FraudSystem | Creating features...
2026-07-20 01:43:30,791 | INFO | FraudSystem | Feature engineering completed. Shape: (3500000, 33)
2026-07-20 01:43:31,634 | INFO | FraudSystem | Final dataset shape: (3500000, 25)
2026-07-20 01:43:31,634 | INFO | FraudSystem | Loading trained model...
2026-07-20 01:43:34,114 | INFO | FraudSystem | Model and preprocessor loaded successfully.
2026-07-20 01:43:44,213 | INFO | FraudSystem | Preprocessed feature matrix shape: (3500000, 25)
2026-07-20 01:43:44,213 | INFO | FraudSystem | Calculating anomaly scores...
2026-07-20 01:45:55,420 | INFO | FraudSystem | Prediction completed successfully.
2026-07-20 01:45:55,420 | INFO | FraudSystem | Evaluation Statistics
2026-07-20 01:45:55,617 | INFO | FraudSystem | Detected 35000 anomalies.
2026-07-20 01:45:55,617 | INFO | FraudSystem | Generating anomaly score distribution plot...
2026-07-20 01:46:02,394 | INFO | FraudSystem | Evaluation completed successfully.
2026-07-20 01:50:44,841 | INFO | FraudSystem | Loading sample dataset...
2026-07-20 01:50:57,794 | INFO | FraudSystem | Loaded 3500000 transactions.
2026-07-20 01:50:57,801 | INFO | FraudSystem | Loading fraud prediction model...
2026-07-20 01:51:03,900 | INFO | FraudSystem | Fraud prediction model loaded successfully.
2026-07-20 01:51:03,901 | INFO | FraudSystem | Running prediction on first 5 transactions...
2026-07-20 01:51:03,901 | INFO | FraudSystem | Starting prediction for 5 transaction(s).
2026-07-20 01:51:03,901 | INFO | FraudSystem | Creating features...
2026-07-20 01:51:03,910 | INFO | FraudSystem | Feature engineering completed. Shape: (5, 33)
2026-07-20 01:51:03,910 | INFO | FraudSystem | Columns dropped. Model input shape: (5, 25)
2026-07-20 01:51:03,911 | INFO | FraudSystem | Applying preprocessing pipeline...
2026-07-20 01:51:03,916 | INFO | FraudSystem | Preprocessing completed. Feature matrix shape: (5, 25)
2026-07-20 01:51:03,916 | INFO | FraudSystem | Running Isolation Forest prediction...
2026-07-20 01:51:03,944 | INFO | FraudSystem | Prediction completed successfully.
2026-07-20 01:51:03,945 | INFO | FraudSystem | Prediction results prepared.
2026-07-20 01:51:03,952 | INFO | FraudSystem | Standalone prediction completed successfully.
2026-07-20 01:55:09,317 | INFO | FraudSystem | ============================================================
2026-07-20 01:55:09,317 | INFO | FraudSystem | Initializing Fraud Detection Pipeline...
2026-07-20 01:55:09,317 | INFO | FraudSystem | Loading fraud prediction model...
